Auction ID,Auction Title,Fund,Auction Fee Total
80319,Louis Vuitton Purse,Enterprise,$143.75 
80324,Zebco Fishing Pole,Enterprise,$2.53 
80325,Tiger Fishing Pole w/Zebco Reel,Enterprise,$5.75 
80326,Nautica Suitcase,Enterprise,$9.59 
80327,Nautica Suitcase,Enterprise,$7.95 
80328,Viewsonic LCD Projector,Enterprise,$43.13 
80329,iPhone 5,Enterprise,$78.20 
80330,Canon Digital Camera,Enterprise,$7.36 
80331,Fur Coat,Enterprise,$75.90 
80332,Canon Pixma Wireless Printer,Enterprise,$42.55 
80333,Conair Steam Cleaner,Enterprise,$6.21 
80334,King Size Comforter Set,Enterprise,$32.20 
80335,Toshiba Laptop,Enterprise,$35.65 
80336,Apple MacBook,Enterprise,$22.54 
80338,Thruster Kids Bike,General Fund,$6.67 
80339,Roadmaster 18-speed Bike,General Fund,$6.21 
80340,10 Chairs,Enterprise,$29.90 
80341,10 Chairs,Enterprise,$22.77 
80342,10 Chairs,Enterprise,$19.09 
80343,Round Table,Enterprise,$1.84 
80344,Round Table,Enterprise,$2.53 
80345,Bar Stool,Enterprise,$0.46 
80346,Panasonic 20" TV/VCR Combo,Enterprise,$2.53 
80347,Dell 17" Flat Screen Monitor,General Fund,$4.14 
80348,Dell 15" Flat Screen Monitor,General Fund,$4.83 
80349,Assorted Cables,General Fund,$6.21 
80350,Dell 17" Flat Screen Monitor,General Fund,$6.67 
80351,Dell 17" Flat Screen Monitor,General Fund,$7.36 
80352,Dell 19" Flat Screen Monitor,General Fund,$9.43 
80353,Dell 27" Flat Screen Monitor,General Fund,$15.64 
80354,Dell Optiplex 780 PC,General Fund,$11.96 
80355,8 Dell Optiplex 780 PC's,General Fund,$104.82 
80356,HP Laser Jet 1320tn,General Fund,$11.27 
80357,HP Laser Jet 1320n,General Fund,$11.50 
80358,Hitachi Multimedia LCD Projector,General Fund,$23.69 
80359,2 Dell Optiplex GX620 PC's,General Fund,$4.83 
80360,5 Dell PC's,General Fund,$37.95 
80361,Dell Laptop,General Fund,$13.11 
80362,Dell Laptop,General Fund,$12.65 
80363,Dell Laptop,General Fund,$13.11 
80364,Canon Image Runner 10231F,General Fund,$10.83 
80365,2 X-Ray View Boxes,General Fund,$6.56 
80366,Toshiba DVD/VCR Combo,General Fund,$8.51 
80367,Ricoh Printer,General Fund,$1.04 
80368,HP Laser Jet 4Plus,General Fund,$0.23 
80369,Dell Optiplex 760,Enterprise,$4.60 
80370,Dell Optiplex 760,Enterprise,$5.98 
80371,Dell Optiplex 760,Enterprise,$5.52 
80372,Dell Optiplex 760,Enterprise,$8.51 
80373,Dell Optiplex 760,Enterprise,$5.52 
80374,Dell Optiplex 760,Enterprise,$9.66 
80375,Dell Optiplex 780,Enterprise,$14.95 
80376,CLC 24 ft. Ladder,Enterprise,$28.75 
80377,Beverage-Air Milk Cooler,Enterprise,$25.53 
80378,Victory Refrigerator,Enterprise,$48.07 
80379,Freezer,Enterprise,$23.00 
80380,Victory Freezer,Enterprise,$24.84 
80381,Assorted Lock Sets,Enterprise,$100.05 
80382,3 Pallets of Paint,Enterprise,$59.34 
80383,Makita 4-1/2" Grinder,Enterprise,$4.14 
80384,Black & Decker 10" Miter Saw,Enterprise,$21.13 
80385,Newton Universal Sander,Enterprise,$46.46 
80386,Apollo Projector Screen,Enterprise,$5.29 
80387,Apollo Projector Screen,Enterprise,$6.21 
80388,Apollo Projector Screen,Enterprise,$3.68 
80389,6 Projector Screens,Enterprise,$4.14 
80390,Duo-Fast Finish Nailer,Enterprise,$7.82 
80391,Sunglasses,Enterprise,$7.36 
80392,Sunglasses,Enterprise,$2.30 
80393,Sunglasses,Enterprise,$28.98 
80394,Sunglasses,Enterprise,$1.15 
80395,Sunglasses,Enterprise,$1.95 
80396,Sunglasses,Enterprise,$23.69 
80397,Sunglasses,Enterprise,$3.68 
80398,Sunglasses,Enterprise,$4.83 
80399,Eyeglasses,Enterprise,$1.61 
80400,Macro Pick-a-Pak,Enterprise,$5.98 
80402,Milwaukee 12v Reciprocating Saw,Enterprise,$3.80 
80404,Milwaukee 18v Sawzall,Enterprise,$2.53 
80405,Bosch Roto Hammer,Enterprise,$5.52 
80406,2 DeWalt 18v Batteries w/Charger,Enterprise,$12.42 
80407,Datamation Systems Laptop Cart,Enterprise,$13.34 
80408,25 Texas Instruments Calculators,Enterprise,$54.51 
80409,Haier Compact Refrigerator,Enterprise,$7.59 
80410,1 Pallet of Poster Board,Enterprise,$36.80 
80411,1 Pallet of Poster Board,Enterprise,$13.00 
80412,3 AV Carts,General Fund,$33.70 
80413,2 AV Carts,General Fund,$11.96 
80414,4 Televisions,General Fund,$0.92 
80415,4 Televisions,General Fund,$0.69 
80416,10 Film Reels,General Fund,$9.66 
80417,2005 John Deere Zero Turn Mower,Enterprise,$166.75 
80418,1966 Buick LeSabre,Enterprise,$247.94 
80419,2001 Chevrolet Tahoe,Enterprise,$420.11 
80420,2004 Chrysler Pacifica,Enterprise,$695.75 
80421,Yoga Mat,General Fund,$0.23 
80422,3 Easels,General Fund,$5.75 
80423,IT Rack,General Fund,$2.65 
80424,8 Cell Phones,Enterprise,$18.25 
80425,13 Cell Phones,Enterprise,$19.10 
80426,Dell Computer,Enterprise,$6.21 
80427,Dell Computer,Enterprise,$7.83 
80428,Dell Computer,Enterprise,$6.91 
80429,Dell Computer,Enterprise,$5.87 
80430,Dell Computer,Enterprise,$5.87 
80431,Dell Computer,Enterprise,$9.43 
80432,Dell Computer,Enterprise,$10.35 
80433,Dell Computer,Enterprise,$6.33 
80434,Dell Computer,Enterprise,$9.66 
80435,Dell Computer,Enterprise,$10.01 
